@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23293006,B011F97,1250,0.6,3683,21770,145,212,754,750,770,800,821
23293007,B011F97,1250,0.6,3040,18070,145,210,749,750,772,801,822
23293008,B011F97,1250,0.6,3605,21420,138,211,761,770,778,808,833
23293009,B011F97,1250,0.6,903,5330,145,221,755,750,758,788,811
23293010,B011F97,1250,0.6,2540,15030,105,223,752,750,752,783,806
23293011,B011F97,1250,0.6,3388,20160,132,213,753,750,766,796,814
23293012,B011F97,1250,0.6,3648,21450,131,216,786,794,799,829,848
23293013,B100F55,1350,0.67,1818,12980,100,244,830,825,812,842,864
23293014,B100F55,1350,0.67,1788,12800,80,248,830,825,808,838,856
23293015,B100F55,1350,0.67,1735,12400,80,250,826,825,804,834,850
23293016,B100F55,1350,0.67,1837,13140,80,249,824,825,803,833,848
23293017,B100F55,1350,0.67,1848,13170,89,248,821,825,800,830,847
23293018,B100F55,1350,0.67,1543,11040,90,248,823,825,802,832,852
23293020,B100F55,1350,0.67,1575,11310,81,250,822,821,798,830,847
23293021,B011F97,1250,0.6,3668,21630,98,222,789,789,782,812,822
23293022,B011F97,1250,0.6,3191,18810,115,225,780,780,779,809,818
23293023,B011F97,1250,0.6,3603,21390,120,216,774,780,781,811,823
23293024,B011F97,1250,0.6,3639,21380,120,224,791,824,795,826,841
23293026,B100F55,1350,0.67,1486,10660,120,244,814,825,811,840,864
23293027,B100F55,1350,0.67,1763,12660,120,247,823,825,815,845,870
23293028,B011F97,1250,0.6,3630,21300,120,244,810,800,807,837,855
23293029,B011F97,1250,0.6,3640,21390,120,216,803,800,805,835,850
23293030,B011F97,1250,0.6,3611,21260,120,217,802,800,805,835,850
23293031,B011F97,1250,0.6,3652,21490,120,223,803,800,805,835,850
23293032,B011F97,1250,0.6,3641,21420,120,224,803,800,805,835,850
23293033,B011F97,1250,0.6,3652,21510,120,226,804,806,806,836,851
23293034,B100F55,1350,0.67,1726,12380,120,250,814,825,813,843,865
23293035,K011F57,1495,0.6,3063,22960,117,223,823,825,814,844,867
