@relation DATOS_HORNO_TESTEO

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23633053,B105F55,1040,0.7,3491,19780,136,256,851,850,858,888,914
23633054,B105F55,1040,0.7,3240,18370,140,258,850,850,860,890,914
23633055,B105F55,1040,0.7,3047,17160,140,260,850,850,860,890,914
23633056,B105F55,1040,0.7,3513,19980,139,263,842,840,854,884,906
23643001,B100F55,1062,0.7,2949,17050,139,253,829,825,847,877,895
23643002,B100F55,1062,0.7,3321,19350,135,252,824,825,842,872,888
23643003,B100F55,1062,0.7,3025,17500,135,253,825,825,842,872,888
23643004,B100F55,1062,0.7,3420,19960,135,252,825,825,842,872,889
23643005,B100F55,1062,0.7,3397,19700,135,253,825,825,842,872,888
23643006,B100F55,1062,0.7,3425,19920,135,254,825,825,842,872,888
23643007,B100F55,1062,0.7,3394,19660,135,254,825,825,841,871,888
23643008,B100F55,1000,0.67,3129,16570,133,258,824,825,836,866,882
23643009,B100F55,1000,0.67,3132,16500,135,254,823,825,837,867,884
23643010,B100F55,1000,0.67,3174,16840,135,255,825,825,838,868,885
23643011,B100F55,1000,0.67,3152,16580,135,255,824,825,838,868,886
23643012,B100F55,1150,0.62,1850,10500,133,263,834,825,836,866,882
23643013,B100F55,1150,0.62,1770,9930,135,263,835,825,836,866,882
23643014,B105F55,1180,0.7,2839,18320,123,254,844,848,842,872,890
23643015,B105F55,1180,0.7,3460,21940,120,262,848,847,845,875,894
23643016,B100F55,1060,0.6,3479,17550,135,251,827,825,828,858,874
23643017,B100F55,1000,0.67,3638,19240,135,248,817,825,829,859,878
23643018,B100F55,1000,0.67,3621,19260,135,248,823,825,833,863,887
23643019,B100F55,1000,0.67,3463,18280,135,250,825,825,834,864,888
23643020,B102G55,970,0.7,2856,15430,135,248,808,802,827,857,878
23643021,B102G55,970,0.7,2878,15360,135,247,800,800,824,854,873
23643022,B103G55,970,0.7,2767,14900,135,245,799,800,822,852,871
